instance_name,flatness
sponge_5_4,0.7664359861591695
bowl_3_1,0
book_7_2,0.9938471004460853
metal_box_6_7,0
plastic_box_6_9,0.6990464839094159
cup_1_8,0
sponge_7_6,0.5964163822525598
cup_6_8,0
book_5_7,0
plate_1_6,0
ball_10_10,0
metal_box_3_4,0.7392632829740282
bowl_1_6,0
cup_4_7,0
sponge_4_1,0.7536525974025974
metal_box_10_3,0.7366472765732417
tray_6_2,0.9871744277821626
tray_8_1,0.9682979378270237
book_10_7,0.8010059042204243
paper_box_10_4,0.6783496007098492
metal_box_6_1,0.8158573774337321
cup_5_8,0
sponge_4_7,0.752851711026616
bowl_8_6,0
to_go_cup_5_10,0
sponge_8_6,0.7068870523415978
sponge_9_10,0.6756850502948317
paper_box_7_5,0.9296568627450981
metal_box_9_6,0.6786885245901639
plastic_box_1_10,0.6237551615253826
plastic_box_8_6,0.6209602954755309
book_8_5,0.9547177759056444
book_5_1,1
to_go_cup_8_4,0
book_8_4,0.9622245540398741
to_go_cup_2_6,0
ball_1_1,0
book_1_9,0.8579127878490935
book_2_3,0.8624068992551941
tray_7_8,0.9028403731265067
metal_box_4_10,0.7300780765894163
tray_3_10,0.9548901419405017
plate_9_10,0
cup_1_4,0
tray_4_1,0.9693686184621796
bowl_8_2,0
paper_box_5_5,0.4501206757843926
bowl_9_1,0
plate_7_4,0
plate_10_2,0
plate_4_6,0
tray_3_2,0.949566055930569
plate_5_10,0
plastic_box_10_3,0.7396694214876033
book_8_6,0.953265178385145
plastic_box_2_10,0.7349794238683127
plastic_box_7_4,0.52400548696845
cup_9_3,0
to_go_cup_2_7,0
sponge_6_2,0.6456043956043956
tray_3_5,0.9555037404061012
bowl_1_4,0
plate_9_1,0
tray_10_4,0.9194563662374822
sponge_7_4,0.6220614828209765
sponge_7_8,0.64568345323741
plate_6_10,0
tray_7_1,0.8989411888038579
sponge_10_2,0.9285014691478942
plate_8_2,0.5605263157894737
ball_5_10,0
to_go_cup_9_4,0
to_go_cup_3_9,0
bowl_6_4,0
metal_box_2_4,0.548618219037871
book_4_8,0.9593111856141421
paper_box_6_10,0.7155919153031761
plate_7_10,0
paper_box_6_6,0.7198462277751081
metal_box_10_1,0.7136125654450262
plastic_box_2_6,0.6956521739130435
plastic_box_3_4,0.242265661074342
cup_9_5,0
book_9_2,0.9498758535071384
bowl_10_7,0
cup_9_10,0
cup_5_4,0
tray_9_10,0.9267108167770419
paper_box_4_7,0.8572630870223868
plate_10_8,0
tray_5_6,0.978051282051282
book_10_9,0.8024202420242024
ball_1_10,0
bowl_2_9,0
to_go_cup_8_9,0
metal_box_8_10,0.6531772575250836
sponge_5_6,0.7866108786610879
to_go_cup_9_6,0
ball_7_9,0
ball_2_2,0
plastic_box_10_6,0.7090909090909091
to_go_cup_1_3,0
sponge_1_5,0.8191287878787878
cup_8_2,0
metal_box_8_8,0.6395582329317269
tray_5_2,0.970204081632653
ball_1_5,0
tray_8_9,0.9626888683317916
cup_9_7,0
metal_box_3_8,0.7306260575296109
plastic_box_9_2,0.5663793103448276
paper_box_5_8,0.4637910565888405
cup_2_5,0
metal_box_8_2,0.6444073455759599
sponge_1_6,0.7897334649555775
plastic_box_6_10,0.7022302591922845
tray_6_4,0.9869319869319869
ball_8_5,0
paper_box_10_5,0.6886120996441281
sponge_3_6,0.7750937109537692
bowl_9_6,0
paper_box_8_10,0.6210777626193724
cup_6_1,0
ball_4_6,0
to_go_cup_4_3,0
to_go_cup_4_8,0
tray_7_9,0.9021807506814846
cup_9_6,0
paper_box_5_9,0.4434499593165175
to_go_cup_9_5,0
tray_4_3,0.9780447390223695
plastic_box_2_8,0.7577996715927751
cup_1_5,0
cup_1_7,0
cup_8_3,0
tray_1_10,0.9713886950453594
to_go_cup_1_4,0
ball_4_7,0
plate_1_3,0
to_go_cup_1_9,0
to_go_cup_9_9,0
sponge_10_8,0.9342995169082126
plate_9_2,0
metal_box_1_10,0.4983069977426637
to_go_cup_4_10,0
paper_box_5_2,0.4516256938937351
to_go_cup_5_6,0
cup_1_6,0
bowl_3_9,0
metal_box_6_9,0.8186101295641932
tray_1_3,0.9722222222222222
tray_4_9,0.9700335289186923
tray_6_9,0.9877567140600316
plastic_box_4_6,0.3769287288758266
metal_box_3_9,0.7367711493090664
paper_box_2_9,0.1838143036386449
cup_10_10,0
ball_9_3,0
plate_6_9,0
ball_3_3,0
metal_box_10_2,0.7339692633810281
sponge_1_1,0.8181818181818182
bowl_8_4,0
plate_6_1,0
plate_1_5,0
book_4_4,0.9613753408058164
sponge_10_10,0.9343137254901961
ball_9_8,0
tray_9_9,0.9278761061946903
book_5_8,0.9997367035281727
metal_box_10_4,0.722872340425532
sponge_3_5,0
ball_8_2,0
bowl_4_7,0
cup_6_5,0
bowl_5_10,0
sponge_10_5,0.9580552907530981
ball_6_3,0
plate_4_2,0
book_9_6,0.9481631382316313
bowl_8_9,0
to_go_cup_6_3,0
to_go_cup_7_4,0
to_go_cup_9_7,0
paper_box_4_9,0.8565407956844234
plate_8_4,0.5506679700228088
sponge_4_6,0.7616449853126311
paper_box_8_5,0.6197666437886067
to_go_cup_5_3,0
paper_box_10_6,0.6738938053097345
tray_2_2,0.9417214985900363
plastic_box_8_5,0.6342528735632184
paper_box_6_2,0.7108610567514677
plate_6_5,0
cup_5_10,0
sponge_2_10,0.8387635756056808
plate_5_2,0
paper_box_10_2,0.6725429704715734
sponge_8_9,0.7407407407407407
plastic_box_4_1,0.4087152516904583
cup_9_4,0
metal_box_6_6,0.8217237308146399
to_go_cup_7_5,0
sponge_7_2,0.5961199294532628
plastic_box_8_10,0.6365740740740741
bowl_5_3,0
ball_2_4,0
to_go_cup_4_1,0
cup_7_5,0
book_8_2,0.9550180352217271
plate_9_4,0
bowl_6_6,0
ball_6_10,0
tray_7_4,0.9021522309711286
cup_10_2,0
bowl_8_7,0
to_go_cup_7_10,0
ball_9_10,0
plastic_box_9_7,0.5652421652421652
plate_2_7,0
cup_10_9,0
plastic_box_4_7,0.4010378057820608
sponge_1_8,0.806829268292683
book_3_9,0.8975069252077562
sponge_9_1,0.6634112312521799
paper_box_2_8,0.1816157760814249
metal_box_1_3,0.5089086859688196
paper_box_6_7,0.7334293948126801
cup_5_7,0
to_go_cup_2_2,0
plastic_box_4_8,0.3886048210372535
cup_2_10,0
paper_box_8_2,0.5971840659340659
tray_1_5,0.9712603392681901
book_1_3,0.859504132231405
ball_2_1,0
sponge_4_2,0.7603372139702931
bowl_6_7,0
bowl_10_6,0
plastic_box_6_6,0.7048780487804878
plastic_box_8_7,0.6402325581395348
to_go_cup_4_5,0
bowl_7_3,0
paper_box_1_4,0.8694424841213833
to_go_cup_6_4,0
plastic_box_7_7,0.5240755520085129
paper_box_10_10,0.6851363236587511
tray_9_5,0.923876963930073
metal_box_8_7,0.6419959812458138
tray_6_3,0.986495810744209
tray_2_5,0.944049376090165
bowl_2_7,0
ball_7_3,0
paper_box_6_1,0.7345261121856866
plate_2_8,0
book_1_8,0.8534146341463414
ball_10_9,0
metal_box_5_6,0.7696026590119354
ball_10_1,0
tray_9_4,0.9279500334597368
metal_box_9_1,0.678432893716059
tray_1_9,0.9648803693857563
ball_7_6,0
ball_3_7,0
ball_4_9,0
paper_box_3_1,0.8691244239631336
paper_box_5_10,0.4493338716188938
metal_box_1_7,0.5135440180586908
book_2_1,0.8694547586476451
cup_4_9,0.1624040920716112
bowl_9_8,0
cup_7_8,0
plastic_box_4_9,0.3950524737631184
to_go_cup_6_7,0
plastic_box_9_5,0.5633314054366686
plate_9_3,0
metal_box_4_4,0.7284686026309258
bowl_2_8,0
sponge_4_4,0.7479508196721312
