instance_name,inv_weight,inv_roughness
ball_8_6,-0.057,-0.1460168771899951
metal_box_4_10,-0.085,-0.2119014925746102
cup_2_5,-0.201,-0.2993053387284567
tray_5_9,-0.167,-0.2369591848823026
sponge_2_2,-0.012,-0.4278822618053797
metal_box_6_3,-0.152,-0.2876322618053798
cup_7_3,-0.239,-0.2037796977028154
bowl_9_7,-0.548,-0.2267861079592257
sponge_6_2,-0.008,-0.3653053387284565
ball_7_6,-0.069,-0.1074463643694821
sponge_4_1,-0.003,-0.5419014925746104
plastic_box_6_8,-0.055,-0.2831643130874308
bowl_9_1,-0.548,-0.2254848259079437
book_2_4,-0.617,-0.2281514925746105
plate_9_7,-0.177,-0.2568438002669183
cup_9_1,-0.324,-0.237863031036149
book_9_5,-0.686,-0.2558822618053797
cup_1_5,-0.218,-0.2823950823182001
plate_5_7,-0.436,-0.1929655951387131
tray_4_1,-0.168,-0.236619441292559
cup_3_9,-0.099,-0.2246514925746105
metal_box_5_2,-0.232,-0.281760466933585
to_go_cup_1_6,-0.013,-0.2780809797540977
book_1_9,-0.589,-0.2309271336002514
ball_6_2,-0.058,-0.1150104669335848
plate_9_2,-0.177,-0.2756322618053795
plastic_box_3_3,-0.101,-0.2200938002669182
plate_7_9,-0.019,-0.3328117489848669
to_go_cup_9_6,-0.037,-0.2796707233438411
paper_box_3_3,-0.015,-0.3447796977028154
book_10_4,-0.501,-0.2649463643694819
metal_box_9_10,-0.167,-0.4849848259079438
tray_9_7,-0.245,-0.2303502105233283
book_4_6,-0.612,-0.2887091848823026
ball_6_3,-0.058,-0.1061130310361489
sponge_8_8,-0.008,-0.3711514925746104
cup_6_8,-0.302,-0.2216258515489694
ball_2_5,-0.058,-0.1077091848823026
plastic_box_9_2,-0.072,-0.2995681592412771
sponge_2_7,-0.012,-0.4318630310361488
book_8_4,-0.317,-0.2751707233438411
tray_1_10,-0.446,-0.2960040566771745
bowl_7_3,-0.028,-0.2675296977028155
paper_box_3_9,-0.015,-0.3251579028310204
cup_3_3,-0.099,-0.2283373900105078
paper_box_6_5,-0.015,-0.239042518215636
tray_7_2,-0.022,-0.2419014925746104
sponge_4_3,-0.003,-0.5641450823182003
plastic_box_4_4,-0.026,-0.2285104669335848
metal_box_9_7,-0.167,-0.2307027746258926
cup_7_10,-0.239,-0.1928758515489694
to_go_cup_4_1,-0.01,-0.2284463643694822
bowl_9_3,-0.548,-0.2267412361643541
metal_box_7_6,-0.076,-0.2312348259079438
paper_box_3_2,-0.015,-0.3150938002669182
ball_9_1,-0.012,-0.1107027746258924
cup_4_3,-0.13,-0.2379976464207641
tray_6_7,-0.312,-0.4002091848823025
plate_3_5,-0.656,-0.2070617489848666
plastic_box_1_3,-0.048,-0.2807668771899951
paper_box_7_4,-0.044,-0.2705745694976873
plastic_box_8_6,-0.092,-0.2905938002669181
metal_box_3_7,-0.146,-0.2398758515489695
to_go_cup_3_7,-0.046,-0.2282989284720462
cup_6_5,-0.302,-0.2201002105233285
ball_10_2,-0.033,-0.1078694412925592
tray_9_2,-0.245,-0.2414591848823026
paper_box_4_4,-0.044,-0.2762732874464051
bowl_6_5,-0.05,-0.259766877189995
book_10_8,-0.501,-0.2852284156515335
paper_box_9_5,-0.674,-0.2093117489848669
plate_10_8,-0.389,-0.2145361079592258
to_go_cup_5_8,-0.007,-0.3133822618053798
metal_box_8_5,-0.101,-0.2141643130874309
ball_9_8,-0.012,-0.1158630310361487
book_1_3,-0.589,-0.2640232874464052
to_go_cup_8_6,-0.03,-0.2600296977028158
plate_9_1,-0.177,-0.3029014925746105
cup_3_5,-0.099,-0.2285040566771745
sponge_8_3,-0.008,-0.3831835438566618
plate_8_1,-0.543,-0.2810745694976872
bowl_5_9,-0.035,-0.2868886720617898
plate_4_8,-0.343,-0.2207027746258926
bowl_7_1,-0.028,-0.3177796977028157
plate_9_4,-0.177,-0.2634976464207642
sponge_1_9,-0.005,-0.3496066207797387
book_10_10,-0.501,-0.2952348259079435
to_go_cup_6_8,-0.019,-0.2216066207797385
metal_box_4_7,-0.085,-0.2268181592412773
ball_8_1,-0.057,-0.1457476464207641
bowl_6_10,-0.05,-0.2527604669335848
book_4_10,-0.612,-0.2630168771899949
sponge_1_10,-0.005,-0.3342989284720465
plastic_box_2_3,-0.012,-0.2621835438566616
ball_10_4,-0.033,-0.109920723343841
metal_box_10_6,-0.058,-0.275869441292559
sponge_1_4,-0.005,-0.3493566207797386
book_7_9,-0.465,-0.241266877189995
plate_7_4,-0.019,-0.3310938002669181
plate_8_2,-0.543,-0.2584784156515333
to_go_cup_5_3,-0.007,-0.294016877189995
paper_box_4_1,-0.044,-0.2871899541130718
book_5_5,-0.265,-0.2491579028310207
plate_5_3,-0.436,-0.2025361079592259
book_1_10,-0.589,-0.2680104669335849
metal_box_10_2,-0.058,-0.2729784156515336
paper_box_8_10,-0.02,-0.1569014925746103
ball_9_5,-0.012,-0.09307456949768728
to_go_cup_9_1,-0.037,-0.2706579028310207
book_8_3,-0.317,-0.2773117489848667
tray_2_5,-0.554,-0.2628694412925592
cup_7_8,-0.239,-0.1935617489848666
metal_box_6_7,-0.152,-0.2849720053951231
metal_box_9_5,-0.167,-0.2500617489848668
book_8_5,-0.317,-0.2726450823182003
tray_3_6,-0.489,-0.2926066207797386
ball_9_9,-0.012,-0.09437585154896953
cup_5_5,-0.318,-0.2241386720617899
metal_box_10_3,-0.058,-0.2727091848823028
to_go_cup_10_3,-0.059,-0.2313950823182004
tray_10_2,-0.187,-0.2764527746258924
ball_6_10,-0.058,-0.1318245694976875
book_1_2,-0.589,-0.279068159241277
sponge_1_8,-0.005,-0.3555809797540976
sponge_3_9,-0.007,-0.6375168771899951
cup_8_1,-0.166,-0.2432540566771745
sponge_5_1,-0.005,-0.4588694412925592
sponge_9_6,-0.013,-0.3965040566771745
plastic_box_2_6,-0.012,-0.290292518215636
metal_box_7_9,-0.076,-0.2723053387284564
cup_8_7,-0.166,-0.2640296977028155
to_go_cup_8_3,-0.03,-0.2651579028310208
ball_7_3,-0.069,-0.1043373900105079
cup_8_9,-0.166,-0.2526194412925591
cup_2_9,-0.201,-0.3352861079592258
book_5_6,-0.265,-0.2199976464207641
metal_box_10_4,-0.058,-0.2798373900105077
metal_box_10_9,-0.058,-0.2939720053951234
