instance_name,length,width,hollowness
book_6_10,0.7225887642741466,1,0.1309437560601019,0
plastic_box_10_1,0.7748837882337176,1,0.3883068908785008,0
book_1_1,1,0.6821966427062829,0.2233903877103101,0
plastic_box_1_1,1,0.9994724354674799,0.5961682794120543,0
plastic_box_10_8,0.7627525302342935,1,0.3767069433053607,0
book_3_9,0.6924278886574207,1,0.1684486222438204,0
tray_5_9,0.708203473033078,1,0.1148066713786056,0
to_go_cup_10_10,0.9407877617457127,0.851703407164787,1,0.8015853613093558
to_go_cup_7_2,0.767142348846891,0.7672869485814288,1,0.9877038916538674
paper_box_10_2,0.9094918617824974,1,0.5027547579558522,0
to_go_cup_5_10,0.990634413776784,1,0.8546910021243729,0.9995901913192821
bowl_4_8,0.9964422597388756,1,0.5622451908107272,0.9278738746118899
to_go_cup_1_2,0.6076298721250314,0.6152183173046226,1,0.8969671097254203
metal_box_8_3,0.9182596824188982,1,0.4514017266653984,0
to_go_cup_9_8,0.5860090033023154,0.6129286004697201,1,0.9902720474160468
bowl_7_4,0.9522238983574915,1,0.7267015844163145,0.936143145205923
bowl_8_5,0.9937752511072011,1,0.4321347395217747,0.928251546186215
paper_box_5_10,0.5168293520486397,1,0.5843609025798762,0
sponge_10_4,0.9054382062547982,1,0.1325518170284612,0
bowl_3_9,0.9518534421602958,1,0.5298497345513763,0.7999863904673399
book_10_1,0.7342831575014762,1,0.2529909608085562,0
metal_box_2_6,0.9370994249940928,1,0.702221176062005,0
book_5_1,1,0.7093029336288661,0.06475618995870074,0
plastic_box_9_2,0.8875643924415257,1,0.5632568427150737,0
to_go_cup_2_3,0.7841831740522341,0.8073991232840437,1,0.885338823510141
book_5_7,1,0.7013585110838175,0.05487024339293738,0
paper_box_7_10,0.5356186388553602,1,0.2010521071973225,0.5025203725696668
to_go_cup_8_7,0.6168197436072672,0.544185403858668,1,0.9626376973118971
sponge_4_5,0.8338603320429419,1,0.3185561943385166,0
tray_7_6,0.5893256957084727,1,0.07990067455704974,0
paper_box_2_10,0.2706189119111269,0.6691461048030765,1,0
cup_3_6,0.8591402687077313,0.8058583919273496,1,0.9217629347577144
book_10_2,0.7351610842824254,1,0.2562851822269516,0
bowl_6_4,1,0.9508154207835985,0.5240052521930078,0.8718250289564227
ball_10_2,0.996796072765551,1,0.9356037203636186,0
ball_7_3,0.6587188568105871,1,0.936088283148555,0
plate_3_10,0.9787499481031701,1,0.1023961597603993,0.7497230430794126
to_go_cup_8_5,0.5883693895849764,0.5665862154292397,1,0.9632349766953437
bowl_2_6,0.948805834929502,1,0.473089731850277,0.9586660122219866
plate_5_7,0.9663781775867591,1,0.1047501730571296,0.8144549954968334
book_4_2,0.7536211890718162,1,0.09844270325612788,0
book_9_2,0.706332478415188,1,0.09557584537546261,0
bowl_6_8,0.9777384529757835,1,0.5181218897215651,0.8718250289564227
bowl_7_2,0.9596972859694749,1,0.7330730063325588,0.9366730074795745
plate_6_1,0.9894330859424406,1,0.09857061152873735,0.5374211268960217
paper_box_3_4,0.6477181274805763,1,0.2792881613800601,0
plate_8_3,0.9641850715710288,1,0.2050590127264716,0.8763545757155634
book_6_2,0.7095765518840287,1,0.1285854669960306,0
cup_5_4,0.9323389849458406,1,0.84566017323135,0.9995901913192821
cup_2_1,0.6730671762014641,1,0.6691003097512773,0.9734613013770794
cup_4_2,0.5571615446226583,0.6549360736496233,1,0
metal_box_3_7,0.9473227820122767,1,0.3346586728708068,0
bowl_10_10,0.9260235282099494,1,0.5087473608476891,0.7000626016669144
plate_10_10,0.863874739018091,1,0.1131315351860909,0.8884286404807402
sponge_7_4,0.7572214958328755,1,0.4206165076966484,0
plate_5_5,0.9575867535097263,1,0.101569502135547,0.808720391082039
ball_9_9,0.8054063434743588,1,0.9869578908763919,0
book_5_8,1,0.7123804755577183,0.06213750983126414,0
sponge_8_7,0.3602672877897598,1,0.1792787184924443,0
ball_2_2,0.8415144637890206,1,0.994301960500681,0
tray_6_10,0.831320202080592,1,0.05879360931303611,0
metal_box_9_6,0.6243851487685589,1,0.3158354352122026,0
book_9_6,0.7172069794870062,1,0.09566703288308293,0
ball_1_1,0.6858711152902539,1,0.8749743942522409,0
sponge_3_10,1,0.8533320390621676,0.28853021990199,0
