instance_name,rigidity
plate_10_2,0.4856530882620952
paper_box_3_5,0.2174422160045629
sponge_3_8,0.542574506945797
bowl_7_7,0.1072035306444213
metal_box_8_3,0.1484567418055232
tray_6_6,0.2142452648595569
paper_box_3_7,0.2652335969910837
sponge_8_6,0.3212677707241236
plate_7_10,0.4472400978243723
plastic_box_8_1,0.180148131467954
tray_7_6,0.3224650243838299
book_6_9,0.3494324223622933
plate_8_1,0.2514473087715599
to_go_cup_9_2,0.06114206751795079
cup_5_6,0.1278300681165439
to_go_cup_10_6,0.1125000968398436
tray_6_9,0.1965538233764859
tray_7_1,0.3157887469728581
bowl_6_8,0.1547011395324061
book_2_6,0.2444829790848391
plate_3_10,0.3641099227894086
tray_8_9,0.5251878109104586
tray_10_9,0.2349556214516234
plastic_box_6_2,0.1518344547709103
to_go_cup_5_8,0.12108279616129
plate_7_4,0.5777294626547247
tray_2_2,0.3071789174677857
sponge_10_7,0.648045906115962
plate_10_6,0.4515444355206804
plastic_box_9_2,0.160188125027692
sponge_3_5,0.3755290882471298
book_1_5,0.1537340409996005
plastic_box_3_8,0.03160493573706014
to_go_cup_5_2,0.09317046168193767
paper_box_10_9,0.1848888146274425
tray_8_4,0.3889002969872359
paper_box_8_1,0.3066383849960704
cup_5_5,0.1266664154966228
sponge_6_9,0.8835379606867998
cup_2_1,0.09525476409333182
sponge_5_6,0.6381980972874596
bowl_5_6,0.1297523920374706
sponge_4_3,0.4544769895808641
metal_box_3_6,0.2212744215231333
plate_5_9,0.2871089741302707
sponge_7_5,0.6472835875881675
tray_3_4,0.2716419907209942
plate_4_8,0.2740797603034307
tray_10_5,0.178752988534617
cup_7_2,0.05756166395225403
sponge_2_7,0.3509260908035911
metal_box_6_6,0.3075336019975159
sponge_8_3,0.305499790663698
metal_box_4_1,0.1216373348976709
plate_8_10,0.2118622207932716
to_go_cup_2_1,0.06009653340648381
cup_6_2,0.07152213505511326
sponge_3_9,0.5534514768016685
cup_6_8,0.07886313838028411
paper_box_6_7,0.2738529474330344
cup_6_6,0.07576021843109915
ball_9_9,0.1782750220705868
plastic_box_3_10,0.03304503319935668
metal_box_10_4,0.1856699020379588
ball_6_10,0.1879425109167368
to_go_cup_3_7,0.05791430859351235
paper_box_2_3,0.01954330603112124
plastic_box_6_10,0.1510417343889045
paper_box_10_10,0.2018723572882774
to_go_cup_8_10,0.04808223379702407
book_9_5,0.2506428253637278
tray_1_5,0.435663219781296
sponge_9_1,0.2865419724033688
plastic_box_2_7,0.2280600887509055
to_go_cup_8_7,0.0549648568893006
plastic_box_9_1,0.1706632270553399
cup_1_9,0.06722522142405982
metal_box_4_7,0.1541841865017782
book_4_2,0.2652318603118866
book_3_5,0.2331849370995303
book_1_6,0.1451000154942787
metal_box_3_8,0.1344420796553046
tray_9_5,0.3050583736277136
cup_9_5,0.07942138679276549
plate_3_3,0.2980216912144798
plastic_box_3_5,0.03135299505806846
to_go_cup_2_4,0.1344330221429347
ball_10_10,0.4500110068141486
cup_9_7,0.07174615872039715
sponge_8_8,0.2762032075675572
tray_10_6,0.3184132722530054
ball_1_3,0.174710126774445
bowl_6_5,0.1593166300116256
paper_box_2_7,0.01952058543772903
cup_9_8,0.07997276676741395
ball_4_1,0.3582709213499105
ball_9_4,0.1689691278480015
sponge_4_4,0.4456587472126697
bowl_5_3,0.2138991101806425
ball_10_5,0.3985207744067573
metal_box_8_5,0.1724774280908271
plate_5_5,0.3909401018933866
ball_6_1,0.2480360004399452
bowl_5_8,0.1523910163791578
paper_box_9_6,0.02014745698074908
tray_6_3,0.4364518868474067
to_go_cup_3_8,0.0558904150915912
sponge_7_3,0.6410045093133477
metal_box_9_8,0.1074356125895903
cup_10_5,0.08614300864342649
cup_3_9,0.05551670321116239
metal_box_1_7,0.1319364473270607
book_1_8,0.206403115188423
plastic_box_4_5,0.1763344349308854
metal_box_4_6,0.1261178516340599
ball_6_3,0.1991431823731916
plate_3_5,0.3728213202971357
to_go_cup_8_8,0.04743232453534189
ball_9_2,0.1655829050098006
paper_box_1_8,0.451322766084938
ball_5_3,0.2644373052582252
bowl_7_5,0.1274266136355579
cup_8_5,0.04822725283924991
tray_6_8,0.4152755944712296
metal_box_2_2,0.1795058079553013
book_9_1,0.2518496196857036
to_go_cup_4_4,0.06745926240895415
sponge_6_4,0.9238909099229143
cup_5_7,0.09524492096023784
book_10_2,0.2222989108454134
book_2_2,0.2437077712162717
metal_box_10_5,0.2086296156650255
plastic_box_7_6,0.06774634282052679
book_4_3,0.2608765147070765
cup_3_4,0.04809141152556073
to_go_cup_8_5,0.04822725283924991
book_6_10,0.3379562612336915
plastic_box_10_7,0.4508835848369082
bowl_2_6,0.1421278952540109
paper_box_4_6,0.1519892759645276
bowl_3_3,0.1442701341909624
plastic_box_6_7,0.1899465662799565
metal_box_9_7,0.1998953921364667
cup_3_6,0.05682295583767642
ball_9_8,0.1742100186677551
tray_4_1,0.3447551926364292
cup_8_3,0.05386874217789191
cup_7_3,0.05382592438520884
cup_9_1,0.06738519532030247
cup_5_8,0.12108279616129
tray_1_9,0.3336806163486635
sponge_1_9,0.8788878202302612
plastic_box_8_7,0.1482151972808055
book_2_5,0.1775113688068953
to_go_cup_10_8,0.1017722452067388
bowl_8_9,0.1662906035305032
plate_3_2,0.3112617502224954
bowl_9_9,0.06436522147383876
plastic_box_1_2,0.08355357632060074
cup_2_4,0.1055417375287536
plate_6_8,0.2642918003758598
paper_box_1_4,0.445583429783456
to_go_cup_1_6,0.04923858398093856
sponge_9_10,0.2908339736584603
